[INFO | _internal | line 97] 2025-04-11T19:49:22+0800: 127.0.0.1 - - [11/Apr/2025 19:49:22] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:49:22+0800: 127.0.0.1 - - [11/Apr/2025 19:49:22] "[36mGET /script.js HTTP/1.1[0m" 304 -
[INFO | app | line 124] 2025-04-11T19:49:24+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:49:24+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:49:24+0800: Response data for bets_dfa: {'input': '111111111111111', 'final_state': 0, 'accepted': False, 'state_sequence': [0, 'REJECT_STATE_INVALID_SYMBOL'], 'error': 'Simulation Error: Symbol "1" not in alphabet {\'a\', \'b\'}.'}
[INFO | _internal | line 97] 2025-04-11T19:49:24+0800: 127.0.0.1 - - [11/Apr/2025 19:49:24] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:49:34+0800:  * Detected change in 'c:\\Users\\Neil\\Documents\\artus\\dlsud\\dfa-website\\backend\\app.py', reloading
[INFO | _internal | line 97] 2025-04-11T19:49:34+0800:  * Restarting with stat
[INFO | app | line 51] 2025-04-11T19:49:35+0800: Bets DFA Compiled Successfully.
[INFO | app | line 96] 2025-04-11T19:49:35+0800: Stars DFA compiled successfully.
[WARNING | _internal | line 97] 2025-04-11T19:49:35+0800:  * Debugger is active!
